Afghanistan,15.48717104
Albania,29.77230976
Algeria,30.83040547
American Samoa,
Andorra,
Angola,56.83588283
Antigua and Barbuda,44.08266774
Argentina,21.70646878
Armenia,20.5836109
Aruba,
Australia,19.78024202
Austria,53.97135556
Azerbaijan,55.12575386
"Bahamas, The",42.02174624
Bahrain,
Bangladesh,18.40616841
Barbados,47.34395912
Belarus,54.6236092
Belgium,80.00874773
Belize,
Benin,14.12394984
Bermuda,
Bhutan,
Bolivia,41.18745607
Bosnia and Herzegovina,35.92035962
Botswana,32.64100364
Brazil,11.15298
Brunei Darussalam,
Bulgaria,57.79860296
Burkina Faso,
Burundi,
Cambodia,54.08278279
Cameroon,28.92224376
Canada,29.43060726
Cape Verde,39.25519746
Cayman Islands,
Central African Republic,
Chad,43.9
Channel Islands,
Chile,38.7198498
China,29.57170129
Colombia,15.71552858
Comoros,
"Congo, Dem. Rep.",25.95637134
"Congo, Rep.",85.11967127
Costa Rica,38.06968635
Cote d'Ivoire,40.89501406
Croatia,38.32275951
Cuba,19.61354547
Curacao,
Cyprus,40.11451474
Czech Republic,79.31357362
Denmark,50.32587733
Djibouti,
Dominica,32.05712292
Dominican Republic,22.26210288
Ecuador,32.94940629
"Egypt, Arab Rep.",21.34924581
El Salvador,26.17336092
Equatorial Guinea,
Eritrea,
Estonia,78.26700163
Ethiopia,11.41490884
Faeroe Islands,
Fiji,52.5371471
Finland,40.41987303
France,25.4631941
French Polynesia,
Gabon,61.61046302
"Gambia, The",29.3
Georgia,34.79734018
Germany,46.82655039
Ghana,29.28216342
Gibraltar,
Greece,21.50286736
Greenland,
Grenada,20.99798783
Guam,
Guatemala,25.09644575
Guinea,34.9612981
Guinea-Bissau,
Guyana,
Haiti,12.12410591
Honduras,43.87117217
"Hong Kong SAR, China",222.9601263
Hungary,86.54505579
Iceland,56.03203712
India,21.53762503
Indonesia,24.6121427
"Iran, Islamic Rep.",
Iraq,
Ireland,101.0776293
Isle of Man,
Israel,36.96337836
Italy,26.65724066
Jamaica,25.55299104
Japan,15.2160584
Jordan,44.53086181
Kazakhstan,43.95482903
Kenya,27.52092087
Kiribati,
"Korea, Dem. Rep.",
"Korea, Rep.",52.39164552
Kosovo,19.34637405
Kuwait,
Kyrgyz Republic,57.74422724
Lao PDR,36.33041482
Latvia,53.37003526
Lebanon,20.9451193
Lesotho,43.80931136
Liberia,
Libya,
Liechtenstein,
Lithuania,68.22057971
Luxembourg,164.9886135
"Macao SAR, China",106.9182234
"Macedonia, FYR",47.3121119
Madagascar,
Malawi,30.6159428
Malaysia,97.3035615
Maldives,49.69973351
Mali,
Malta,85.15963421
Marshall Islands,
Mauritania,62.01006203
Mauritius,52.42979958
Mayotte,
Mexico,30.28773238
"Micronesia, Fed. Sts.",
Moldova,39.59275703
Monaco,
Mongolia,54.69989518
Montenegro,35.55737535
Morocco,33.000437
Mozambique,25.25129102
Myanmar,0.113928276
Namibia,38.92837844
Nepal,9.753179652
Netherlands,78.04810898
New Caledonia,
New Zealand,28.71364083
Nicaragua,41.34018876
Niger,
Nigeria,36.84010302
Northern Mariana Islands,
Norway,41.1445903
Oman,
Pakistan,13.55303691
Palau,
Panama,65.22895262
Papua New Guinea,55.85211637
Paraguay,57.0967851
Peru,25.10802646
Philippines,34.80329295
Poland,42.27660485
Portugal,31.03350965
Puerto Rico,77.91259759
Qatar,
Romania,23.48656844
Russian Federation,30.04484758
Rwanda,
Samoa,31.9798771
San Marino,
Sao Tome and Principe,
Saudi Arabia,56.79473226
Senegal,24.78577547
Serbia,34.892266
Seychelles,
Sierra Leone,17.1000845
Singapore,211.0642702
Sint Maarten (Dutch part),
Slovak Republic,81.06993344
Slovenia,65.42470211
Solomon Islands,31.10699579
Somalia,
South Africa,27.31409629
South Sudan,72.0720823
Spain,26.25666884
Sri Lanka,21.68756485
St. Kitts and Nevis,27.06280578
St. Lucia,47.25170505
St. Martin (French part),
St. Vincent and the Grenadines,25.41294418
Sudan,19.76526987
Suriname,
Swaziland,54.81112832
Sweden,50.00550677
Switzerland,53.55440042
Syrian Arab Republic,35.3264536
Tajikistan,15.20377414
Tanzania,26.07351078
Thailand,71.25065917
Timor-Leste,
Togo,
Tonga,13.42907065
Trinidad and Tobago,
Tunisia,48.71300501
Turkey,21.11679823
Turkmenistan,51.7331848
Turks and Caicos Islands,
Tuvalu,
Uganda,24.02411092
Ukraine,50.18833243
United Arab Emirates,77.9368849
United Kingdom,30.12022676
United States,12.61282826
Uruguay,26.86980472
Uzbekistan,31.47386404
Vanuatu,47.31091527
"Venezuela, RB",28.69068186
Vietnam,77.53067523
Virgin Islands (U.S.),
West Bank and Gaza,
"Yemen, Rep.",30.25991863
Zambia,44.10457942
Zimbabwe,48.26295156
