81.1 12.6 47557
81.9 12 34431
80.7 11.6 36402
78.5 12.4 43017
80.7 12.5 23737
81 12.1 35166
80.6 11.6 29322
79.6 10.3 83717
80.4 12.2 34854
81.4 11.7 35837
82.3 11 39924
83.4 11.6 32295
82.8 10 44805
81.8 10.4 29354
80.6 11.6 28230
78.8 11.4 34347
81.6 11.9 25849
80 10.9 33357
80.9 10.8 35719
81.5 10.6 30462
79.3 11.6 24914
80 10.3 32438
81.4 10.4 26508
81.9 10.1 26484
80 10.1 50557
81.1 8.8 52569
77.7 12.3 21405
80.2 9.3 33296
79.9 10.1 23747
76.5 9.3 59993
79.6 9.8 24841
80.9 10.4 36095
78 8.6 45753
74.8 12 16799
75.4 11.6 19998
79.6 9.9 21460
78.4 7.3 107721
74.4 11.1 16581
76.1 10 17451
72.2 10.9 16234
79.5 7.7 20573
75.1 9.4 28169
73.3 11.5 14293
79.1 9.7 13329
75.9 9.3 14527
76.6 9.8 15729
76.8 9.3 17966
77 8.5 13242
71.8 12.1 9744
74 10.4 11046
79.1 9.9 5416
73.6 9.4 16729
75.6 8.5 23029
74.6 10.6 10361
73.4 10.6 11412
73.9 7.8 23274
77 8.5 13245
76.1 9.4 12335
74.5 10.2 10236
72.6 8.9 15521
74.2 9.5 13685
70.1 9.2 23439
74.6 6.1 47926
74.8 7.3 12637
70.3 9.3 13439
68.8 9.8 14561
76 8.6 6982
67 10.4 10585
79.3 8.3 10497
76.9 10.4 7803
72.6 7.9 13076
73.1 8.4 11897
74.4 7.6 10656
75.7 8.7 7664
73.7 12.1 4780
68.5 11.3 6175
73.4 7.2 12918
74.8 8.2 8804
73.1 9.6 6487
74 8.7 8389
77.5 7.7 7889
74.6 8.3 8273
75.6 7.6 7589
73.5 7.2 10162
72.3 8.6 8013
74.2 10.8 5188
73.7 7.3 8315
73 7.3 10164
73 5.5 22841
72.3 10.3 4186
70.7 8.6 8666
74 6.5 12246
76.1 8 5812
74.5 6.5 7281
73.4 8.6 5300
73.1 7 7658
74.9 8.2 4943
73.4 7.2 8087
72.4 10.3 3931
69.2 10.7 4145
73.5 7.5 7476
65 9.9 7306
74.1 6.6 7694
70.6 7.2 7538
72.2 7.5 5925
62.7 7.5 12249
72.5 7.7 4727
66.6 9.2 4054
76.8 5.8 5276
68.5 8.3 3391
69.3 9.7 3058
68.7 8.9 3478
73.2 6.4 5269
72.8 8 2656
68.3 10 2967
69 8.8 2935
69.9 8 3192
53.2 8.9 13049
75.9 5.7 4243
62.5 7.4 6206
73.1 6.5 3443
68.1 7.8 3140
52.8 8.5 9469
69.4 5.8 3716
71 6.7 3950
67.7 9.3 2036
67.5 9.8 1937
75.2 5.5 2805
74 5.8 2430
72.2 4.4 4196
71.2 4.1 4167
69 5.6 3177
74.2 3.5 3402
65.4 4.4 3468
64.2 7.1 1584
51.1 5.4 17608
57.4 5.9 3066
67.5 4.6 2242
63.1 5.8 1848
48.7 7.1 4484
67.2 2.3 5293
67.9 4.5 1782
57.1 7 1492
64.7 4.2 1792
65.4 4.9 2550
68.9 4.8 1529
62.5 2.8 3005
51.1 4.4 4874
65.2 4 1535
51.6 5.9 2031
66.7 5.2 824
58.2 5.1 1328
62.8 4.3 2271
65.5 2.5 2213
59.3 4.5 1708
51.9 5 2069
68.8 3.2 1160
62.1 4.9 1123
58.6 3.7 1859
48.2 5.9 1664
54.1 4.7 1124
57.1 5.3 798
61.1 2.8 1079
49 6.5 1254
57.9 3.8 2335
55.4 3.3 1133
56.1 3.3 1364
58.5 2.8 1282
61.5 3.1 1894
55.4 3.3 1387
54.2 4.2 753
48.7 3.3 1416
51.4 7.2 376
59.3 1.5 971
51.4 2 1123
48.1 2.3 994
61.6 3.4 536
54.1 1.6 863
48.4 3.5 707
47.8 2.9 737
55.4 1.3 1141
56.8 3.9 265
49.6 1.5 1105
50.2 1.2 898
50.4 2.7 368
54.7 1.4 641
48.4 3.5 280
